name,materialRef,seriesName,season,episodeNumber,projectType,startDate,deadline,writtenAt,mixedAt,deliveredAt,mixStatus,status,deliveryStatus,vsStatus,pageCount,durationMin,redacteurId,techSonId,broadcastChannel,isMixed,isWritten,isDelivered,isNarrated,isAINarrator,workflowStep,language,totalEpisodes
foliesdegraduation-0_m9255a_2026-4-17_prise2_31353012,m9255a,foliesdegraduation,,,FILM,2026-03-18,2026-04-17,2026-04-15,2026-04-16,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,21,95.52,user001,user003,prise2,True,True,False,True,True,DISPATCH,fr,0
foliesdegraduation2-0_m9229a_2026-4-17_prise2_31644819,m9229a,foliesdegraduation2,,,FILM,2026-03-27,2026-04-17,2026-04-15,2026-04-16,2026-04-17,FAIT,FAIT,PAS_ENCORE,AI,24,99.63,user001,user011,prise2,True,True,False,True,True,DISPATCH,fr,0
monheroine-0_m9001a_2026-4-12_tva_29344374,m9001a,monheroine,,,FILM,2026-04-08,2026-04-12,2026-04-10,2026-04-13,2026-04-13,FAIT,FAIT,PAS_ENCORE,AI,78,110.15,user002,user011,tva,True,True,False,True,True,DISPATCH,fr,0
magnum2018-1_i8114-e76440_2026-5-27_addik_10150055,e76440,magnum2018,,,SERIE_EMISSION,2026-03-16,2026-05-27,2026-04-07,2026-04-07,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,9,41.85,user007,user010,addik,True,True,False,True,True,DISPATCH,fr,0
lepreuveducourage-0_m9277a_2026-4-19_temoin_31605917,m9277a,lepreuveducourage,,,FILM,2026-03-26,2026-04-19,2026-04-14,2026-04-15,2026-04-16,FAIT,FAIT,PAS_ENCORE,AI,33,122.77,user001,user010,temoin,True,True,False,True,True,DISPATCH,fr,0
turnerethooch-1_107-g05003_2026-4-8_addik_31610915,g05003,turnerethooch,1,107,SERIE_EMISSION,2026-03-18,2026-04-08,2026-04-03,2026-04-03,2026-04-03,FAIT,FAIT,PAS_ENCORE,AI,10,49.43,user002,user011,addik,True,True,False,True,True,DISPATCH,fr,0
lappat2010-0_m9268a_2026-4-11_prise2_31376354,m9268a,lappat2010,,,FILM,2026-03-18,2026-04-11,2026-04-06,2026-04-06,2026-04-06,FAIT,FAIT,PAS_ENCORE,AI,27,84.42,user002,user011,prise2,True,True,False,True,True,DISPATCH,fr,0
hatchprotectionrapprochee-0_m9270a_2026-4-13_tva_31421094,m9270a,hatchprotectionrapprochee,,,FILM,2026-03-18,2026-04-13,2026-04-07,2026-04-07,2026-04-08,FAIT,FAIT,PAS_ENCORE,AI,29,116.93,user002,user011,tva,True,True,False,True,True,DISPATCH,fr,0
supermanetlois-4_t1324408-g03913_2026-4-13_addik_30665272,g03913,supermanetlois,,,SERIE_EMISSION,2026-03-18,2026-04-13,2026-04-01,2026-04-01,2026-04-02,FAIT,FAIT,PAS_ENCORE,AI,30,48.87,user008,user011,addik,True,True,False,True,True,DISPATCH,fr,0
turnerethooch-1_108-g05004_2026-4-15_addik_31611395,g05004,turnerethooch,1,108,SERIE_EMISSION,2026-03-18,2026-04-15,2026-04-02,2026-04-02,2026-04-02,FAIT,FAIT,PAS_ENCORE,AI,11,50.48,user008,user003,addik,True,True,False,True,True,DISPATCH,fr,0
